,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
51,-0.6705,Sat Jun 09 22:19:39 +0000 2018,0.8,0.2,0.0,@CBSNews,California Officials say wildfires last year that killed 15 are attributable to Pacific Gas &amp; Electric Co. equipmen… https://t.co/a50mKES8Ss,52
52,-0.4767,Sat Jun 09 21:59:49 +0000 2018,0.86,0.14,0.0,@CBSNews,The Category 4 hurricane brewing off the coast of Mexico and Baja California Sur will make for dangerous swells and… https://t.co/cWAlq5t2sx,53
53,0.5719,Sat Jun 09 21:39:56 +0000 2018,0.85,0.0,0.15,@CBSNews,Buildings in the Bay Area lit up blue and gold overnight as fans celebrated the Golden State @Warriors' third NBA c… https://t.co/ec26P3ueg3,54
54,-0.5216,Sat Jun 09 21:19:31 +0000 2018,0.856,0.144,0.0,@CBSNews,"Volkswagen's plan to end production of the iconic model won't change the love many owners have for their ""bugs""— or… https://t.co/rs7fn7GOJn",55
55,-0.6369,Sat Jun 09 20:59:38 +0000 2018,0.811,0.189,0.0,@CBSNews,"Toxic abuse has long been a staple of darker social-media realms, message boards and internet comments pages -- but… https://t.co/78lXrTPDdd",56
56,0.2755,Sat Jun 09 20:40:21 +0000 2018,0.905,0.0,0.095,@CBSNews,"Prince George may be Britain's future king, but his cousin Savannah Phillips isn't shy about telling him to quiet d… https://t.co/RWpQeA8K3b",57
57,-0.3182,Sat Jun 09 20:19:24 +0000 2018,0.892,0.108,0.0,@CBSNews,As this year's Puerto Rican Day Parade draws attention to the island's continued struggle in the wake of Hurricane… https://t.co/HulKjfBHpo,58
58,-0.4939,Sat Jun 09 20:02:01 +0000 2018,0.842,0.158,0.0,@CBSNews,A salmonella outbreak spanning eight states that infected 60 and hospitalized 31 has been connected to pre-cut melo… https://t.co/4YO6g3W7vD,59
59,0.6369,Sat Jun 09 19:42:37 +0000 2018,0.856,0.0,0.144,@CBSNews,"RT @CBSSunday: TOMORROW 

Jim Parsons, best known for his work in front of the camera on @bigbangtheory &amp; on the stage in the revival of @B…",60
60,-0.5106,Sat Jun 09 19:39:57 +0000 2018,0.717,0.19,0.093,@CBSNews,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/cQwktOodtT",61
61,-0.3182,Sat Jun 09 19:19:51 +0000 2018,0.845,0.155,0.0,@CBSNews,"President Trump cut his G-7 attendance short to leave for the summit in Singapore, leaving other leaders to discuss… https://t.co/drnDIHeJK9",62
62,-0.4019,Sat Jun 09 19:00:22 +0000 2018,0.671,0.212,0.117,@CBSNews,"Shahab fled Iran after he was beaten and jailed for converting to Christianity. Now in the U.S., he’s free from all… https://t.co/0fctuXaeRS",63
63,0.1779,Sat Jun 09 18:40:11 +0000 2018,0.809,0.075,0.116,@CBSNews,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/beLeCP6unJ,64
64,0.0,Sat Jun 09 18:21:23 +0000 2018,1.0,0.0,0.0,@CBSNews,Doctors told her parents she likely wouldn't live long— then that she would never walk. This 19-year-old with cereb… https://t.co/SKziTGHEFj,65
65,0.765,Sat Jun 09 18:14:56 +0000 2018,0.761,0.0,0.239,@CBSNews,The 2018 Belmont Stakes is set to take place this evening -- and one horse is hoping to win the Triple Crown… https://t.co/lQDgMcPIPd,66
66,0.0,Sat Jun 09 17:50:04 +0000 2018,1.0,0.0,0.0,@CBSNews,"Ahead of the highly-anticipated summit with North Korea, @CBSEveningNews anchor @JeffGlor is in Singapore:… https://t.co/MnZjShPdgw",67
67,0.0,Sat Jun 09 17:29:57 +0000 2018,1.0,0.0,0.0,@CBSNews,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/JhtJSzubZs",68
68,0.0,Sat Jun 09 17:16:39 +0000 2018,1.0,0.0,0.0,@CBSNews,RT @CBSThisMorning: .@TheTonyAwards are on @CBS tomorrow night! Here’s a look at some of the preparations ahead of Broadway’s biggest night…,69
69,-0.0772,Sat Jun 09 17:10:21 +0000 2018,0.944,0.056,0.0,@CBSNews,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/sKVAqhatkJ,70
70,0.296,Sat Jun 09 16:50:01 +0000 2018,0.879,0.0,0.121,@CBSNews,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/sDTZlDpuBg,71
71,0.2732,Sat Jun 09 16:29:33 +0000 2018,0.674,0.135,0.192,@CBSNews,"Top-ranked Simona Halep wins the #FrenchOpen by defeating Sloane Stephens 3-6, 6-4, 6-1 https://t.co/en40gwzJJT https://t.co/SHLFffYyEO",72
72,-0.1154,Sat Jun 09 16:10:30 +0000 2018,0.935,0.065,0.0,@CBSNews,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/1CyQsRrk9D",73
73,0.4019,Sat Jun 09 15:49:30 +0000 2018,0.881,0.0,0.119,@CBSNews,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/CrcHIAuFe1,74
74,0.0,Sat Jun 09 15:41:55 +0000 2018,1.0,0.0,0.0,@CBSNews,"President Trump says he will ""know in the first minute"" whether North Korean leader Kim Jong Un is ""serious"" about… https://t.co/47Aqo1HEga",75
75,0.5719,Sat Jun 09 15:29:42 +0000 2018,0.837,0.0,0.163,@CBSNews,Prince Harry and Meghan Markle joined the pageantry of the annual Trooping the Color ceremony to celebrate Queen El… https://t.co/0YsALCVVNH,76
76,0.0,Sat Jun 09 15:10:07 +0000 2018,1.0,0.0,0.0,@CBSNews,WATCH: Take a look at how the coastline of Hawaii's Big Island has changed since the Kilauea volcano began erupting… https://t.co/MhZSAxyHnr,77
77,-0.7096,Sat Jun 09 14:49:49 +0000 2018,0.608,0.289,0.103,@CBSNews,4 U.S. service members who were wounded in an extremist attack in Somalia that killed one special operations soldie… https://t.co/bcEyYzRuJl,78
78,-0.0772,Sat Jun 09 14:39:43 +0000 2018,0.944,0.056,0.0,@CBSNews,"Reporter: How long do you think it will take you to figure out whether Kim Jong Un is serious?

President Trump: “I… https://t.co/OBU0BrL9qf",79
79,0.0,Sat Jun 09 14:36:02 +0000 2018,1.0,0.0,0.0,@CBSNews,"President Trump says the U.S. relationship with its allies ""is a 10"" following G-7 summit https://t.co/syywHUMwLG https://t.co/mtKO3vrHT7",80
80,0.0,Sat Jun 09 14:31:24 +0000 2018,1.0,0.0,0.0,@CBSNews,"""You know, Obama can say all he wants, but he allowed Russia to take Crimea. I may have had a much different attitu… https://t.co/E3sMsGuxnK",81
81,0.0,Sat Jun 09 14:26:38 +0000 2018,1.0,0.0,0.0,@CBSNews,"""Tariffs are going to come way down because we people cannot continue to do that,"" President Trump says. ""We are li… https://t.co/oU0EL8VFIN",82
82,0.6597,Sat Jun 09 14:23:43 +0000 2018,0.803,0.0,0.197,@CBSNews,"""I think it would be an asset to have Russia back in [the G-7]. I think it would be good for the world,"" President… https://t.co/SjvNCse3XM",83
83,0.8214,Sat Jun 09 14:22:36 +0000 2018,0.735,0.0,0.265,@CBSNews,"""I really feel confident. I feel that Kim Jong Un wants to do something great for his people, and he has that oppor… https://t.co/vife8VEUjx",84
84,0.5423,Sat Jun 09 14:20:16 +0000 2018,0.877,0.0,0.123,@CBSNews,"""I will be on a mission of peace, and we will carry in, really -- in my heart, we are going to be carrying the hear… https://t.co/kAORBwtI0w",85
85,0.3818,Sat Jun 09 14:16:38 +0000 2018,0.847,0.0,0.153,@CBSNews,"""We want and expect other nation to provide fair market access to American exports and that we will take whatever s… https://t.co/Ss7moC0GQc",86
86,0.0,Sat Jun 09 14:14:03 +0000 2018,1.0,0.0,0.0,@CBSNews,WATCH LIVE: President Trump delivers statement at G-7 summit as he prepares to head to Singapore for meeting with N… https://t.co/8ZKOqjf4qs,87
87,-0.7269,Sat Jun 09 13:49:30 +0000 2018,0.736,0.264,0.0,@CBSNews,"For more than a year, Florida failed to do national background checks that could have disqualified people from gain… https://t.co/hvt09tJdaV",88
88,-0.5994,Sat Jun 09 13:30:03 +0000 2018,0.769,0.231,0.0,@CBSNews,Can President Trump and Kim Jong Un end the 68-year-old Korean War? https://t.co/yJYhxdnN74 https://t.co/z54J6O7jJK,89
89,-0.2263,Sat Jun 09 13:15:54 +0000 2018,0.888,0.112,0.0,@CBSNews,Search teams have located the body of a woman who vanished Friday in a suspected alligator attack… https://t.co/wg7RX1ZqLv,90
90,0.5106,Sat Jun 09 13:03:03 +0000 2018,0.784,0.0,0.216,@CBSNews,"""Zero trust"" between U.S. and North Korea ahead of historic summit https://t.co/2bT4TFLoUf https://t.co/8VpZ7gHoRk",91
91,-0.5106,Sat Jun 09 12:48:04 +0000 2018,0.784,0.216,0.0,@CBSNews,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/pHdAork3OW https://t.co/pnJwdLVXQE",92
92,-0.0258,Sat Jun 09 12:33:04 +0000 2018,0.927,0.073,0.0,@CBSNews,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/oQxTlSaIMO https://t.co/RPOft178nu",93
93,-0.8481,Sat Jun 09 12:18:04 +0000 2018,0.521,0.479,0.0,@CBSNews,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/P61Ja7u7kS https://t.co/1OI79KPaIj",94
94,-0.6808,Sat Jun 09 12:03:04 +0000 2018,0.699,0.301,0.0,@CBSNews,Former Senate Intel staffer accused of lying to FBI makes first court appearance https://t.co/Ci68UqgVxb https://t.co/tLQ2bY4iDB,95
95,0.0,Sat Jun 09 11:48:03 +0000 2018,1.0,0.0,0.0,@CBSNews,Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,96
96,0.0,Sat Jun 09 11:33:03 +0000 2018,1.0,0.0,0.0,@CBSNews,Fox News' Charles Krauthammer says he has weeks to live https://t.co/4HPbRwLsAc https://t.co/wz1UiswLri,97
97,-0.7579,Sat Jun 09 11:18:03 +0000 2018,0.519,0.481,0.0,@CBSNews,Palestinians killed in protest near Israel-Gaza border https://t.co/DhtoKuJN9x https://t.co/qGbxFIUtK2,98
98,-0.3182,Sat Jun 09 11:03:05 +0000 2018,0.796,0.204,0.0,@CBSNews,Group photo masks underlying tension at G-7 summit https://t.co/gWeG8c22fI https://t.co/2Aqe8J9lyH,99
99,0.5574,Sat Jun 09 10:48:04 +0000 2018,0.769,0.0,0.231,@CBSNews,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/BdS7ls5VfD https://t.co/07u57WLNPp",100
